osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/356504538,node,Farmacia,,,,,,,,19.4609149,-70.6843802
node/370200557,node,Farmacia Jorge,"España, Santiago",Santiago,,,,,,19.451591,-70.7042984
node/370891949,node,Farmacia sin nombre,,,,,,,,19.447991,-70.6778764
node/370913469,node,Farmacia Restauracion,"Calle Restauración, Santiago",Santiago,+18092476424,,,,,19.4522592,-70.6997945
node/583855967,node,Farmacia Carol,Avenida Independencia,,,,,,,18.4687682,-69.8942102
node/596693473,node,Farmacia sin nombre,,,,,,,,18.4740936,-69.8880694
node/809969124,node,Farmacia Rozon,"Calle Principal 11, Batey Uno",Batey Uno,+18093360254,,,,,19.4803081,-70.7851837
node/927722578,node,Farmacia Carol,,,,,,,,18.4713324,-69.9374243
node/927722583,node,Farmacia Brasil,,,,,,,,18.4669418,-69.9432474
node/928335594,node,Farmacia Lincoln,,,,,,,,18.4739892,-69.9346066
node/941794476,node,Farmacia Carol,,,,,,,,18.4756112,-69.9233055
node/956366530,node,Farmacia Rafelito,,,,,,,,19.4674619,-70.7000023
node/1239450996,node,Pharmacia del Pueblo,,,,,,,,18.4734076,-69.8919761
node/1391142515,node,Farmacia sin nombre,,,,,,,,19.7651122,-70.5159826
node/1593022580,node,Pharmacy,,,,,,,,19.8920712,-70.9619072
node/1645804915,node,Farmacia sin nombre,,,,,,,,19.3128223,-69.5455859
node/1661639864,node,jeantte,,,,,,,,18.5001004,-69.847565
node/1668200697,node,Farmacia Romaplex,,,,,,,,18.4629457,-69.9638461
node/1673956928,node,Farmacia Ferreira,,,,,,,,19.2235292,-70.5135084
node/1674020413,node,Farmacia Del Valle,,,,,,,,19.2248056,-70.5206108
node/1674020423,node,Farmacia Olimpica 1,,,,,,,,19.2248664,-70.5227244
node/1674119176,node,Farmacia San Pancracio,"Calle Gral. Juan Rodriguez, La Vega",La Vega,,,,,,19.2245533,-70.5271194
node/1679169309,node,Farma Xtra,,,,,,,,18.4309345,-69.9727876
node/1679229652,node,Farmacia O&D,,,,,,,,18.4324431,-69.9656824
node/1704912394,node,Farmacia sin nombre,,,,,,,,19.4583791,-70.6983898
node/1704915307,node,Farmacia La Fuente II,"Avenida Bartolomé Colón, Santiago de los Caballeros",Santiago de los Caballeros,,,,,,19.4586089,-70.700897
node/1784971707,node,Farmacia Villa Fundacion,,,,,,,,18.2806929,-70.497339
node/1837180844,node,Farmacia San José,,,,,,,,18.9076465,-70.74475
node/1847511785,node,Carol,,,,,,,,18.4712515,-69.9141538
node/1850595534,node,Farmax,Avenida Independencia,,,,,,,18.4669715,-69.8955471
node/1871529988,node,Farmacia Europa,"Avenida Tiradentes, Santo Domingo",Santo Domingo,,,,,,18.4805505,-69.9286994
node/1883856558,node,Farmacia Los Hidalgos,,,,,,,,18.4847091,-69.8404105
node/1884358240,node,Farmax,,,,,,,,18.4651933,-69.928971
node/1885696343,node,Farmacia Dary's,,,+18095823161,,,,,19.4551883,-70.6849719
node/2069165909,node,Farmacia Rosina,,,,,,,,18.4910419,-69.904287
node/2069166742,node,Farmacia Rita,,,,,,,,18.4864578,-69.9065505
node/2075538652,node,Farmacias Los Hidalgos,,,,,,,,18.5082462,-69.9483115
node/2141062027,node,Farmacia San Rafael,,,+18095713480,,,,,19.7638014,-70.5140455
node/2141062031,node,Pharmacia Sosua,,,,,,,,19.7632476,-70.5164528
node/2232231405,node,Farmacia Doña Rosa,"Avenida Los Beisbolistas, Santo Domingo Oeste",Santo Domingo Oeste,+18093791228,,,,,18.4852176,-69.9978415
node/2235191306,node,Farmacia Romy,,,,,,,,18.4704923,-69.9727572
node/2339444520,node,Farmacia ALLAN,Prof. Juan Bosch,,,,,,,19.3148053,-70.540369
node/2360576887,node,Farmacia Las Mercedes,Calle Profesor Juan Bosch,,,,,,,19.2242871,-70.5295326
node/2365189077,node,Farmacia Miguelito,,,,,,,,19.1221522,-70.6419007
node/2389927326,node,Farmacia San Luís,,,,,,,,19.3659806,-69.8511614
node/2389945323,node,Botica Divino Niño,,,,,,,,19.3764334,-69.8530241
node/2394171043,node,Farmacia Nina,,,,,,,,18.4865193,-69.9015652
node/2425904670,node,Farmax,,,,,,,,18.6386773,-68.3976843
node/2426977395,node,Farmacia ALLAN,Prof. Juan Bosch,,,,,,,19.2920916,-70.5427186
node/2530178701,node,Farmacia San Antonio,,,,,,,,19.6637418,-71.1997098
node/2590998155,node,Farmacia sin nombre,,,,,,,,18.3499078,-68.8290642
node/2683849603,node,Bicar Farmacia,,,,,,,,18.5459368,-70.5076345
node/2683849621,node,Farmacia Milagros,,,,,,,,18.5448005,-70.507588
node/2720148348,node,Farmacia Nacional,,,,,,,,19.2979038,-70.2557218
